rank_group,rank_absolute,domain,title,url,image_url,snippet,time_published,timestamp
60,65,vnexpress.net,Đức có thể chuyển tên lửa cho Anh để gián tiếp hỗ trợ Ukraine,https://vnexpress.net/duc-co-the-chuyen-ten-lua-cho-anh-de-gian-tiep-ho-tro-ukraine-4705116.html,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:59,"Anh muốn nhận tên lửa hành trình Taurus từ Berlin để London có thể viện trợ 
thêm đạn Storm Shadow cho Ukraine, theo báo Đức. - VnExpress.",1 ngày trước,2024-01-25 15:58:33 +00:00
61,66,dantri.com.vn,"""Cơn khát"" đạn pháo kìm chân Ukraine trên tiền tuyến",https://dantri.com.vn/the-gioi/con-khat-dan-phao-kim-chan-ukraine-tren-tien-tuyen-20240125100901088.htm,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:60,"(Dân trí) - Cuộc chiến giữa Nga và Ukraine đã diễn ra gần hai năm và dường 
như Moscow đang chiếm ưu thế trong một lĩnh vực then chốt: cuộc...",1 ngày trước,2024-01-25 15:58:33 +00:00
62,67,thanhnien.vn,"'Không có nét Nhật Bản': Tranh cãi nảy lửa về người mẫu gốc Ukraine trở 
thành hoa hậu Nhật",https://thanhnien.vn/khong-co-net-nhat-ban-tranh-cai-nay-lua-ve-nguoi-mau-goc-ukraine-tro-thanh-hoa-hau-nhat-185240126124846064.htm,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:61,"Người mẫu gốc Ukraine - Karolina Shiino đăng quang Hoa hậu Nhật Bản đã tạo 
nên một cuộc tranh luận nảy lửa trên mạng xã hội về ý nghĩa của...",6 giờ trước,2024-01-26 09:58:33 +00:00
63,68,vietnamnet.vn,Nga: Kiev đã được thông báo về máy bay quân sự chở binh sĩ Ukraine,https://vietnamnet.vn/nga-kiev-da-duoc-thong-bao-ve-may-bay-quan-su-cho-binh-si-ukraine-2244169.html,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:62,"Nga cho biết Cơ quan Tình báo Quân đội Ukraine đã nhận được cảnh báo 15 
phút trước khi máy bay vận tải quân sự của Nga, chở theo 65 binh sĩ...",7 giờ trước,2024-01-26 08:58:33 +00:00
64,69,vnexpress.net,Nguy cơ cạn tiền phủ bóng Ukraine,https://vnexpress.net/nguy-co-can-tien-phu-bong-ukraine-4703888.html,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:63,"Làm thế nào để giữ ổn định kinh tế và duy trì sức chiến đấu khi viện trợ 
phương Tây không đến kịp đang là thách thức lớn mà Ukraine đối mặt.",2 ngày trước,2024-01-24 15:58:33 +00:00
65,70,baotintuc.vn,"Mỹ, Nga chính thức lên tiếng về vụ 'máy bay chở tù binh Ukraine' rơi ở 
Belgorod",https://baotintuc.vn/the-gioi/my-nga-chinh-thuc-len-tieng-ve-vu-may-bay-cho-tu-binh-ukraine-roi-o-belgorod-20240125054112079.htm,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:64,"Trong khi Ngoại trưởng Liên bang Nga Sergei Lavrov gọi vụ rơi máy bay này 
là một ""cuộc tấn công khủng bố"" và quy trách nhiệm cho Ukraine,...",1 ngày trước,2024-01-25 15:58:33 +00:00
66,71,dantri.com.vn,"Ukraine tung ""sát thủ trên không"", Nga chật vật xuyên thủng phòng tuyến",https://dantri.com.vn/the-gioi/ukraine-tung-sat-thu-tren-khong-nga-chat-vat-xuyen-thung-phong-tuyen-20240124232718626.htm,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:65,"(Dân trí) - Nga đang gặp khó khăn trong việc xuyên thủng các tuyến phòng 
thủ của Ukraine khi Kiev triển khai máy bay không người lái nhắm...",1 ngày trước,2024-01-25 15:58:33 +00:00
67,72,dantri.com.vn,Ukraine hé lộ vụ phá hủy máy bay ném bom Tu-22 của Nga,https://dantri.com.vn/the-gioi/ukraine-he-lo-vu-pha-huy-may-bay-nem-bom-tu-22-cua-nga-20240125075717977.htm,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:66,"(Dân trí) - Tình báo Quốc phòng Ukraine đã tiến vào lãnh thổ Nga vào tháng 
8 năm ngoái, phá hủy một máy bay ném bom Tu-22M3 của Moscow và vô...",1 ngày trước,2024-01-25 15:58:33 +00:00
68,73,tuoitre.vn,"Điểm tin 8h: TP.HCM bắn pháo hoa 8 điểm dịp Tết; Nhiều bí ẩn vụ máy bay chở 
tù binh Ukraine rơi",https://tuoitre.vn/diem-tin-8h-tp-hcm-ban-phao-hoa-8-diem-dip-tet-nhieu-bi-an-vu-may-bay-cho-tu-binh-ukraine-roi-20240125223123286.htm,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:67,"Điểm tin cùng bạn 8h ngày 26-1: Kiến nghị giao quận 5 quản lý toàn diện 
'đất vàng' 152 Trần Phú; Buôn bán hàng hiệu, cung cấp hàng hóa 'ăn...",14 giờ trước,2024-01-26 01:58:33 +00:00
69,74,dantri.com.vn,"Không quân Nga dùng chiến thuật ""leo cao, ngoặt gấp"" khiến Ukraine bó tay 
và lo sợ tột độ",https://dantri.com.vn/the-gioi/khong-quan-nga-dung-chien-thuat-leo-cao-ngoat-gap-khien-ukraine-lo-lang-20240122160134593.htm,https://api.dataforseo.com/cdn/i/01261758-7358-0139-0000-ef043fa9d733:68,"(Dân trí) - ""Leo cao, ngoặt gấp"" là chiến thuật đặc biệt hiệu quả của Không 
quân Nga khi sử dụng bom lượn có điều khiển ở chiến trường...",2 ngày trước,2024-01-24 15:58:33 +00:00
